erk_regime,beta_d_R,beta_d_T,lambda_d,n_replicates,pooled_t_zone_deaths_k,pooled_total_deaths_n,t_zone_area_fraction_p0,pooled_t_zone_fraction,pooled_t_zone_density_ratio,pooled_binomial_p_value_greater,significant_unadjusted_0p05,p_value_display
reference_ERK,2.0,0.8,2.0,10,8927,14434,0.4444444444444445,0.6184702785090758,2.0262847285273287,0.0,True,< 1e-300
reference_ERK,2.0,0.8,4.0,10,11644,19189,0.4444444444444445,0.6068059825941946,1.92909211398277,0.0,True,< 1e-300
weak_ERK_protection,4.0,1.6,1.0,10,9858,15406,0.4444444444444445,0.6398805660132416,2.221070656092285,0.0,True,< 1e-300
weak_ERK_protection,4.0,1.6,2.0,10,17072,26363,0.4444444444444445,0.6475742517922847,2.2968464105047897,0.0,True,< 1e-300
weak_ERK_protection,4.0,1.6,4.0,10,29289,45819,0.4444444444444445,0.6392326327506056,2.21483666061706,0.0,True,< 1e-300
weak_ERK_protection,4.0,1.6,0.5,10,5430,8362,0.4444444444444445,0.6493661803396317,2.314972714870396,1.16468623504784e-310,True,1.165e-310
reference_ERK,2.0,0.8,1.0,10,5978,9465,0.4444444444444445,0.6315900686740623,2.142959564095211,8.32495378022514e-293,True,8.325e-293
reference_ERK,2.0,0.8,0.5,10,4122,6427,0.4444444444444445,0.6413567761008246,2.2353579175704987,6.479559673786762e-221,True,6.480e-221
weak_ERK_protection,4.0,1.6,0.25,10,2770,4209,0.4444444444444445,0.6581135661677358,2.406184850590688,3.262794244536447e-171,True,3.263e-171
reference_ERK,2.0,0.8,0.25,10,2340,3607,0.4444444444444445,0.6487385639035209,2.308602999210734,1.97354714494582e-134,True,1.974e-134
strong_ERK_protection,1.0,0.4,4.0,10,3259,5518,0.4444444444444445,0.5906125407756434,1.803342186808322,3.0066194134421432e-105,True,3.007e-105
strong_ERK_protection,1.0,0.4,2.0,10,2634,4550,0.4444444444444445,0.5789010989010989,1.7184237995824636,4.846298139401015e-74,True,4.846e-74
strong_ERK_protection,1.0,0.4,1.0,10,2028,3463,0.4444444444444445,0.585619405140052,1.7665505226480835,1.843256821831012e-62,True,1.843e-62
strong_ERK_protection,1.0,0.4,0.25,10,1334,2195,0.4444444444444445,0.607744874715262,1.936701509872241,2.557190145298406e-53,True,2.557e-53
strong_ERK_protection,1.0,0.4,0.5,10,1653,2855,0.4444444444444445,0.578984238178634,1.7190099833610648,2.9280369365879327e-47,True,2.928e-47
